customer_id,name,first_name,last_name,email,phone_number,address,state_code,country_code,registration_date,loyalty_status,customer_tier,order_id,order_date,order_amount,order_status,product_category
1,Michelle Kidd,Michelle,Kidd,vayala@example.net,+1- 619-723-4258,"USNS Santiago, FPO AE 80872",AE,US,2025-01-25,Gold,2,,,,,
2,Brad Newton,Brad,Newton,taylorcatherine@example.net,+1- 537-674-1158,"38783 Oliver Street, West Kristenborough, MT 99752",MT,US,2023-07-13,Silver,1,209c024e-6c32-49fa-acd1-2501bd19c1cd,2023-10-30 00:00:00,486.53,Pending,Toys
2,Brad Newton,Brad,Newton,taylorcatherine@example.net,+1- 537-674-1158,"38783 Oliver Street, West Kristenborough, MT 99752",MT,US,2023-07-13,Silver,1,3f263091-da18-48a6-8b00-c179e1b1a81a,2024-08-29 00:00:00,781.22,Pending,Books
3,Larry Torres,Larry,Torres,dsanchez@example.net,+1- 810-256-4505,"6845 Steele Turnpike, West Erikabury, UT 37487",UT,US,2023-08-18,Bronze,0,63d7870e-617e-4f49-ae9b-b893e635e43f,2023-04-05 00:00:00,454.07,Pending,Toys
4,Kimberly Price,Kimberly,Price,jessicaknight@example.com,+1- 423-222-9779,"1631 Alexis Meadows, Lake Amanda, CA 75179",CA,US,2024-12-08,Gold,2,cbe7b5ef-013f-4b4f-9ac4-3b510075080a,2023-08-12 00:00:00,259.07,Cancelled,Electronics
4,Kimberly Price,Kimberly,Price,jessicaknight@example.com,+1- 423-222-9779,"1631 Alexis Meadows, Lake Amanda, CA 75179",CA,US,2024-12-08,Gold,2,21209e05-078a-402d-a450-dd310595e5f0,2024-08-27 00:00:00,117.03,Completed,Electronics
5,Matthew Phillips,Matthew,Phillips,qwilliams@example.com,+1- 220-763-3522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",OR,US,2024-02-03,Gold,2,4988e17a-4287-41b5-a483-b150f2814d12,2023-11-11 00:00:00,555.63,Cancelled,Books
5,Matthew Phillips,Matthew,Phillips,qwilliams@example.com,+1- 220-763-3522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",OR,US,2024-02-03,Gold,2,a1dbce6f-f08a-43d1-a2b2-1e96b6afa14d,2023-08-28 00:00:00,667.6,Completed,Electronics
6,Darrell Gallagher DVM,Darrell,Gallagher DVM,larryharris@example.org,+1- 379-950-3695,"19887 Brandon Bridge, New Rebecca, MA 94947",MA,US,2025-03-03,Bronze,0,abce154a-4017-49e2-8b21-f23a36541369,2024-08-29 00:00:00,129.53,Pending,Toys
6,Darrell Gallagher DVM,Darrell,Gallagher DVM,larryharris@example.org,+1- 379-950-3695,"19887 Brandon Bridge, New Rebecca, MA 94947",MA,US,2025-03-03,Bronze,0,f431b991-f9ab-4bac-a8f5-36e0181f5a8c,2023-03-12 00:00:00,367.28,Pending,Electronics
7,Louis Miller,Louis,Miller,patriciaelliott@example.org,+1- 198-862-7105,"02590 Marshall Well, Sheppardland, CT 88067",CT,US,2024-09-30,Gold,2,ed240cd5-598c-4340-bf1b-61ad6511a814,2024-01-19 00:00:00,513.62,Completed,Clothing
7,Louis Miller,Louis,Miller,patriciaelliott@example.org,+1- 198-862-7105,"02590 Marshall Well, Sheppardland, CT 88067",CT,US,2024-09-30,Gold,2,350512f8-af6c-4344-b46c-776b18fb042d,2023-08-27 00:00:00,651.86,Cancelled,Books
8,Melissa Galloway MD,Melissa,Galloway MD,watsonbenjamin@example.net,+1- 548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",NC,US,2023-10-06,Bronze,0,2e76eb6f-ff16-4948-a1a0-67ac69172649,2024-04-16 00:00:00,196.27,Completed,Clothing
8,Melissa Galloway MD,Melissa,Galloway MD,watsonbenjamin@example.net,+1- 548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",NC,US,2023-10-06,Bronze,0,253b81d2-9714-49f0-8919-bdb3baf2991a,2023-04-16 00:00:00,80.34,Cancelled,Home & Garden
8,Melissa Galloway MD,Melissa,Galloway MD,watsonbenjamin@example.net,+1- 548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",NC,US,2023-10-06,Bronze,0,295542f3-588e-4aec-a7aa-def0a98e16c9,2023-09-03 00:00:00,961.29,Cancelled,Toys
8,Melissa Galloway MD,Melissa,Galloway MD,watsonbenjamin@example.net,+1- 548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",NC,US,2023-10-06,Bronze,0,3cfbf350-1ce5-41fe-a8ca-80b6f88f0588,2023-04-18 00:00:00,521.03,Pending,Electronics
8,Melissa Galloway MD,Melissa,Galloway MD,watsonbenjamin@example.net,+1- 548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",NC,US,2023-10-06,Bronze,0,bb56af4f-0e2f-4397-832f-c3731b18563b,2023-10-28 00:00:00,448.42,Pending,Books
9,Matthew Harvey,Matthew,Harvey,bgaines@example.net,+1- 581-144-7338,"60123 Davis Ford, Mistychester, WA 69400",WA,US,2024-10-31,Silver,1,e2a4dbfc-8c00-4925-914f-053ccace1bf0,2023-10-20 00:00:00,873.57,Cancelled,Toys
9,Matthew Harvey,Matthew,Harvey,bgaines@example.net,+1- 581-144-7338,"60123 Davis Ford, Mistychester, WA 69400",WA,US,2024-10-31,Silver,1,dde9f1cb-8187-4b19-ae19-ed576cc5c1b1,2024-12-25 00:00:00,661.0,Completed,Clothing
10,Rachel White,Rachel,White,whitemichael@example.org,+1- 410-729-9740,"6182 Brown Mountain, South Gary, IL 29016",IL,US,2024-02-25,Bronze,0,31d78c48-f1c3-4ad2-ba8c-4fdfc2beb69e,2024-01-07 00:00:00,107.56,Pending,Electronics
11,Nicole Yang,Nicole,Yang,archerheather@example.org,+1- 589-638-7173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",WI,US,2025-03-08,Bronze,0,384104b9-6d77-403b-b133-c06742287b99,2023-03-29 00:00:00,227.12,Cancelled,Books
11,Nicole Yang,Nicole,Yang,archerheather@example.org,+1- 589-638-7173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",WI,US,2025-03-08,Bronze,0,48d7bfd9-5c90-465a-8399-ef6c5355c275,2023-10-14 00:00:00,985.28,Completed,Electronics
12,Christine Delgado,Christine,Delgado,yfarrell@example.net,+1- 310-834-9008,"PSC 4025, Box 2078, APO AA 61121",AA,US,2024-04-18,Bronze,0,b0e7f47d-e260-49c0-9e5a-cd1c84a69048,2023-08-02 00:00:00,880.67,Completed,Clothing
13,Joseph Brennan,Joseph,Brennan,khernandez@example.com,+1- 486-789-1647,"8890 Keller Hills, North Paul, FM 64749",FM,US,2024-04-28,Gold,2,2989226b-def8-4990-95da-f5d66499cef3,2023-09-21 00:00:00,929.28,Pending,Toys
13,Joseph Brennan,Joseph,Brennan,khernandez@example.com,+1- 486-789-1647,"8890 Keller Hills, North Paul, FM 64749",FM,US,2024-04-28,Gold,2,feeb8351-43e6-48fc-ac84-3d7db621ba94,2024-08-24 00:00:00,923.12,Cancelled,Home & Garden
14,Eric Thomas,Eric,Thomas,spencer75@example.com,+1- 434-130-5478,"352 Joel Extension Suite 962, New Anthony, CO 33299",CO,US,2024-05-09,Bronze,0,e8f03b60-28ec-43d6-b418-b3c47408eceb,2023-09-01 00:00:00,537.53,Completed,Home & Garden
15,Laura Perez,Laura,Perez,sdavid@example.com,+1- 319-310-5560,"1518 Green Locks Suite 348, New Brent, FM 51849",FM,US,2024-12-04,Gold,2,b8d470ff-0104-4b95-994c-23c0d18c0ccd,2023-02-05 00:00:00,710.17,Cancelled,Toys
15,Laura Perez,Laura,Perez,sdavid@example.com,+1- 319-310-5560,"1518 Green Locks Suite 348, New Brent, FM 51849",FM,US,2024-12-04,Gold,2,4111423e-2ebf-48ca-9be4-710ae7eb95a1,2024-11-03 00:00:00,664.21,Pending,Home & Garden
16,Erin Matthews,Erin,Matthews,uhunter@example.net,+1- 480-780-3711,"67623 Morgan Hollow, Hillshire, IL 78665",IL,US,2023-11-12,Bronze,0,e11d7d7c-267a-41b0-860a-054c26f850b6,2023-10-11 00:00:00,708.16,Cancelled,Clothing
16,Erin Matthews,Erin,Matthews,uhunter@example.net,+1- 480-780-3711,"67623 Morgan Hollow, Hillshire, IL 78665",IL,US,2023-11-12,Bronze,0,f81a5f02-61ca-419d-b838-78f378528891,2023-07-29 00:00:00,614.5,Pending,Toys
17,Melissa Alvarado,Melissa,Alvarado,parkjohn@example.net,+1- 411-857-4974,"USNS Austin, FPO AP 52643",AP,US,2024-06-24,Gold,2,070eeb51-487b-4935-9550-75aac363ebb5,2024-10-17 00:00:00,930.65,Pending,Books
17,Melissa Alvarado,Melissa,Alvarado,parkjohn@example.net,+1- 411-857-4974,"USNS Austin, FPO AP 52643",AP,US,2024-06-24,Gold,2,89a7982e-6ca5-44fd-aae3-bcd783677e45,2024-06-19 00:00:00,698.7,Cancelled,Home & Garden
18, Ernest Dunn,,Ernest Dunn,kelseybrown@example.net,+1- 687-543-7471,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",RI,US,2025-01-27,Gold,2,0d018235-bbd7-48a1-b4e6-a0d0459a7bc7,2024-06-04 00:00:00,548.36,Pending,Books
19,David Johnson,David,Johnson,marynelson@example.org,+1- 244-439-2274,"992 Harris Pines Suite 049, North Marychester, PW 73177",PW,US,2025-02-21,Silver,1,,,,,
20,Wayne Morales,Wayne,Morales,qwilliams@example.com,+1- 875-559-3832,"15344 Hill Pike, Matthewport, FL 45434",FL,US,2025-02-22,Gold,2,,,,,
